slug,label,aliases,level,url
usgs-benchmark-glaciers,USGS Benchmark Glaciers,USGS Benchmark Glacier Project,us-national,https://www.usgs.gov/programs/climate-research-and-development-program/science/usgs-benchmark-glacier-project
crrel,CRREL,US Army Cold Regions Research and Engineering Laboratory,us-national,https://www.erdc.usace.army.mil/Locations/CRREL
nwis,NWIS,USGS National Water Information System,us-national,https://waterdata.usgs.gov/nwis
usgs-webb,USGS-WEBB,USGS Water Energy and Biogeochemical Budgets network,us-national,https://water.usgs.gov/webb/
usgs-hbn,USGS-HBN,USGS Hydrologic Benchmark Network,us-national,https://water.usgs.gov/nasqan/progdocs/factsheets/hbnfact/hbnfactsheet.html
gleon,GLEON,Global Lake Ecological Observatory Network,international,https://gleon.org
mab-us,MAB-US,UNESCO Man and the Biosphere — US Biosphere Reserves,us-national,https://en.unesco.org/biosphere/eu-na
noaa-gml,NOAA-GML,NOAA Global Monitoring Laboratory baseline observatory network,us-national,https://gml.noaa.gov
climate-hubs,USDA Climate Hubs,USDA Regional Climate Hubs,us-national,https://www.climatehubs.usda.gov
scan,SCAN,NRCS Soil Climate Analysis Network,us-national,https://www.nrcs.usda.gov/wps/portal/wcc/home/aboutScan/
asos,ASOS,Automated Surface Observing System,us-national,https://www.weather.gov/asos
gaw,WMO-GAW,WMO Global Atmosphere Watch,international,https://gaw.kishou.go.jp
fluxnet,FLUXNET,Global eddy-covariance synthesis network,international,https://fluxnet.org
ltrr,LTRR,Laboratory of Tree-Ring Research / ITRDB,us-national,https://ltrr.arizona.edu
nadp-ntn,NADP-NTN,NADP National Trends Network,us-national,https://nadp.slh.wisc.edu/networks/national-trends-network/
nadp-mdn,NADP-MDN,NADP Mercury Deposition Network,us-national,https://nadp.slh.wisc.edu/networks/mercury-deposition-network/
nadp-airmon,NADP-AIRMoN,NADP Atmospheric Integrated Research Monitoring Network,us-national,https://nadp.slh.wisc.edu/networks/atmospheric-integrated-research-monitoring-network/
nrs,UC-NRS,University of California Natural Reserve System,us-regional,https://ucnrs.org
ofs,OFS,Organization of Biological Field Stations,us-national,https://www.obfs.org
